"where";"id";"gender";"age";"education";"employment";"is_rescue_worker";"red_cross_commeetee_location";"rescue_worker_qualification";"years_experience";"last_training";"rate_of_activity";"job_qualification";"is_job_qualification_invariant";"is_team_invariant";"neuroticism";"negative_affect";"i1_na";"i2_na";"i3_na";"i4_na";"i5_na";"i1_sr";"i2_sr";"i3_sr";"i4_sr";"i5_sr";"i6_sr";"i7_sr";"self_reproach";"extraversion";"openness";"agreeableness";"nonantagonistic_orientation";"prosocial_orientation";"conscientiousness";"cope_nvi";"social_support";"avoiding_strategies";"positive_attitude";"problem_orientation";"transcendent_orientation";"avoiding_strategies_R";"transcendent_orientation_R";"ptg";"life_appreciation";"new_possibilities";"personal_strength";"spirituality_changes";"interpersonal_relationships";"ies";"avoiding";"intrusivity";"iperarousal";"self_kindness";"self_judgment";"common_humanity";"isolation";"mindfulness";"over_identification";"neg_self_compassion";"pos_self_compassion";"family";"friends";"significant_other"
"toscana";"AF213019";"female";NA;"Laurea magistrale";"Dipendente";"Yes";"Comitato di Grosseto";"Si";"1";"Meno di 1 anno fa";"1 turno a settimana";"Soccorritore";"Yes";"No";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"toscana";"MO884389";"female";NA;"Laurea breve";"Disoccupato";"Yes";"Comitato di Ponte a Egola";"Si";"2";"Più di 1 anno fa";"1 turno ogni due settimane";"Soccorritore";"Yes";"No";26;11;2;2;2;3;2;3;2;2;2;2;2;2;15;22;26;30;21;9;29;124;25;26;26;25;22;57;18;15;1;3;4;1;6;0;0;0;0;13;11;9;11;12;9;31;34;20;20;24
"toscana";"As644526";"female";NA;"Diploma";"Studente";"Yes";"Comitato di Bagno a Ripoli";"Si";"1";"Meno di 2 mesi fa";"1 turno al mese";"Soccorritore";"Yes";"No";31;15;3;4;2;3;3;2;3;2;2;3;2;2;16;34;30;40;27;13;42;157;48;27;28;34;20;55;20;64;12;15;10;1;26;36;9;19;8;14;15;8;12;9;9;36;31;24;24;24
"toscana";"Gc785665";"male";NA;"Laurea magistrale";"Studente";"Yes";"Comitato di Massa";"Si";"7";"Più di 1 anno fa";"1 turno a settimana";"Capo-squadra";"No";"No";8;6;2;0;4;0;0;0;1;0;0;1;0;0;2;43;34;36;23;13;43;144;29;21;40;41;13;62;27;52;6;13;18;0;15;27;9;14;4;16;19;18;20;18;19;58;52;24;24;24
"toscana";"H427";"male";NA;"Diploma";"Libero professionista";"Yes";"Comitato di Arezzo";"Si";"18";"Meno di 1 anno fa";"1 turno ogni due settimane";"Autista";"No";"No";27;11;1;3;2;3;2;0;3;3;3;2;3;2;16;28;20;32;19;13;31;139;36;24;29;32;18;60;22;52;12;8;14;0;18;47;15;19;13;11;12;10;8;11;10;30;32;18;18;18
"toscana";"PTDP5054659";"male";NA;"Laurea breve";"Libero professionista";"Yes";"Comitato di Strada in Chianti";"Si";"5";"Meno di 1 anno fa";"1 turno a settimana";"Soccorritore";"No";"Yes";20;10;4;3;1;1;1;1;3;0;3;3;0;0;10;41;30;22;12;10;36;152;31;29;36;37;19;54;21;93;15;22;20;6;30;26;7;15;4;14;16;16;18;15;17;51;45;24;22;24
"toscana";"LS890144";"female";NA;"Laurea breve";"Studente";"Yes";"Comitato di Arezzo";"Si";"7";"Più di 2 mesi fa";"Meno di 1 turno al mese";"Soccorritore";"Yes";"No";25;11;2;3;2;2;2;1;3;2;1;3;4;0;14;18;24;32;20;12;25;161;36;35;37;34;19;46;21;56;11;9;11;0;25;32;11;19;2;10;10;14;9;9;8;27;33;23;15;22
"toscana";"GG231982";"female";NA;"Laurea magistrale";"Libero professionista";"Yes";"Comitato di Scandicci";"Si";"2";"Meno di 2 mesi fa";"1 turno ogni due settimane";"Soccorritore";"Yes";"No";23;11;1;1;3;3;3;3;1;3;3;1;1;0;12;34;34;35;22;13;31;152;34;29;40;32;17;53;23;35;7;7;7;0;14;8;1;7;0;12;9;12;12;10;13;34;34;19;22;20
"toscana";"LT061038";"female";NA;"Diploma";"Disoccupato";"Yes";"Comitato di San Frediano a Settimo";"Si";"2";"Meno di 1 anno fa";"1 turno a settimana";"Soccorritore";"Yes";"Yes";15;10;2;0;2;4;2;0;0;0;3;0;2;0;5;38;23;31;21;10;40;138;32;21;33;37;15;63;25;5;0;5;0;0;0;0;0;0;0;5;25;4;20;4;20;65;13;24;24;24
"toscana";"AB654350";"male";NA;"Laurea magistrale";"Studente";"Yes";"Comitato di Firenze";"Si";"3";"Meno di 1 anno fa";"Più di 1 turno a settimana";"Capo-squadra";"Yes";"Yes";42;18;4;4;4;3;3;4;4;4;4;4;3;1;24;23;36;34;20;14;32;166;46;29;40;32;19;52;21;59;13;11;11;0;24;40;19;19;2;14;11;15;4;16;4;19;45;22;23;22
"toscana";"MF500258";"male";NA;"Diploma";"Dipendente";"Yes";"Comitato di San Frediano a Settimo";"Si";"16";"Meno di 1 anno fa";"1 turno a settimana";"Capo-squadra";"Yes";"Yes";14;8;4;1;1;1;1;0;1;0;1;1;3;0;6;42;22;32;19;13;40;139;29;22;35;38;15;62;25;61;11;15;16;0;19;8;0;8;0;5;23;4;20;4;20;63;13;24;21;24
"toscana";"RC366525";"female";NA;"Diploma";"Disoccupato";"Yes";"Comitato di Livorno";"Si";"4";"Meno di 1 anno fa";"1 turno a settimana";"Capo-squadra";"No";"No";39;16;2;4;4;3;3;4;2;3;4;4;3;3;23;18;23;24;16;8;18;124;24;26;32;25;17;57;23;0;0;0;0;0;0;26;5;18;3;7;7;4;4;4;4;15;15;13;24;24
"toscana";"FP837734";"female";NA;"Diploma";"Dipendente";"Yes";"Comitato di Pistoia";"Si";"4";"Meno di 2 mesi fa";"Meno di 1 turno al mese";"Soccorritore";"Yes";"No";26;12;1;3;3;3;2;3;2;2;3;1;1;2;14;27;24;25;16;9;34;133;27;24;31;35;16;59;24;50;12;15;14;0;9;41;11;18;12;13;12;13;11;12;12;35;38;12;15;16
"toscana";"PR066337";"male";NA;"Diploma";"Studente";"Yes";"Comitato di Arezzo";"Si";"1";"Meno di 2 mesi fa";"1 turno a settimana";"Soccorritore";"Yes";"No";22;8;2;1;1;3;1;0;3;2;3;2;2;2;14;34;25;26;16;10;37;147;32;23;35;35;22;60;18;36;1;6;11;0;18;31;14;11;6;15;19;9;12;12;13;44;36;24;16;24
"toscana";"MC91932";"male";NA;"Diploma";"Dipendente";"Yes";"Comitato di Castelfranco di Sotto";"Si";"3";"Più di 1 anno fa";"1 turno a settimana";"Soccorritore";"Yes";"Yes";8;4;1;0;1;1;1;1;1;0;1;0;0;1;4;42;38;35;23;12;31;143;26;26;37;36;18;57;22;10;3;0;3;0;4;9;4;3;2;16;23;7;16;16;17;56;39;8;16;20
"toscana";"MB47247";"male";NA;"Diploma";"Studente";"Yes";"Comitato di Castiglione della Pescaia";"Si";"1";"Più di 1 anno fa";"Più di 1 turno a settimana";"Soccorritore";"Yes";"No";23;9;1;3;1;2;2;1;3;3;3;1;2;1;14;27;35;22;13;9;39;156;27;26;40;46;17;56;23;56;2;17;20;0;17;29;14;14;1;19;10;18;10;15;13;33;52;19;17;16
"toscana";"RR52951059";"male";NA;"Diploma";"Disoccupato";"Yes";"Comitato di Albiano Magra";"Si";"1";"Più di 2 mesi fa";"Più di 1 turno a settimana";"Soccorritore";"No";"No";16;11;3;1;3;1;3;0;1;0;2;1;1;0;5;45;31;32;20;12;43;150;33;24;36;36;21;59;19;54;10;11;13;4;16;9;2;5;2;10;24;9;14;10;18;56;29;19;13;24
"toscana";"LR706021";"female";NA;"Laurea magistrale";"Studente";"Yes";"Comitato di Pisa";"Si";"12";"Meno di 2 mesi fa";"Più di 1 turno a settimana";"Capo-squadra";"Yes";"No";8;7;4;0;1;1;1;0;1;0;0;0;0;0;1;43;38;38;25;13;46;132;23;16;32;39;22;68;18;37;7;8;11;0;11;8;2;6;0;16;20;10;19;11;20;59;37;22;20;21
"toscana";"martinana";"female";NA;"Laurea breve";"Dipendente";"Yes";"Comitato di Arezzo";"Si";"1";"Meno di 2 mesi fa";"1 turno ogni due settimane";"Soccorritore";"Yes";"No";17;7;0;1;2;2;2;2;2;2;3;1;0;0;10;40;39;36;23;13;44;128;24;21;34;35;14;62;26;78;10;18;17;4;29;79;23;32;24;15;14;16;6;14;10;30;45;8;8;24
